,Date,house_price
230,2019-Mar,241856.0
231,2019-Apr,242555.0
232,2019-May,243200.0
233,2019-Jun,243801.0
234,2019-Jul,244353.0
235,2019-Aug,244912.0
236,2019-Sep,245545.0
237,2019-Oct,246258.0
238,2019-Nov,246993.0
239,2019-Dec,247820.0
240,2020-Jan,248804.0
241,2020-Feb,249948.0
242,2020-Mar,251233.0
243,2020-Apr,252454.0
244,2020-May,253301.0
245,2020-Jun,254008.0
246,2020-Jul,255106.0
247,2020-Aug,257022.0
248,2020-Sep,259531.0
249,2020-Oct,262350.0
250,2020-Nov,265374.0
251,2020-Dec,268418.0
252,2021-Jan,271650.0
253,2021-Feb,275006.0
254,2021-Mar,278663.0
255,2021-Apr,282524.0
256,2021-May,287231.0
257,2021-Jun,292759.0
258,2021-Jul,298643.0
259,2021-Aug,304039.0
260,2021-Sep,308663.0
261,2021-Oct,312760.0
262,2021-Nov,316645.0
263,2021-Dec,320978.0
