,Date,inflation_rate
247,2020-Aug,1.3
248,2020-Sep,1.4
249,2020-Oct,1.2
250,2020-Nov,1.2
251,2020-Dec,1.4
252,2021-Jan,1.4
253,2021-Feb,1.7
254,2021-Mar,2.6
255,2021-Apr,4.2
256,2021-May,5.0
257,2021-Jun,5.4
258,2021-Jul,5.4
259,2021-Aug,5.3
260,2021-Sep,5.4
261,2021-Oct,6.2
262,2021-Nov,6.8
263,2021-Dec,7.0
